Grapevine cultivar	Berry Number_2011	Berry Number_2012	Berry Number_2013	Berry Number_2015	Berry Number_2016	Berry Number_2017	Flower Number_2015	Flower Number_2016	Flower Number_2017	Fruitset_2015	Fruitset_2016	Fruitset_2017	Millerandage Index_2015	Millerandage Index_2016	Millerandage Index_2017	Coulure Index_2015	Coulure Index_2016	Coulure Index_2017	Seed Number_2011	Seed Number_2012	Seed Number_2013
ESP217_VIVC3286_5158	97.2	96.3	94.3	191.6	NA	65.89	690.17	NA	379	0.28	NA	0.17	1.07	NA	0.25	6.89	NA	8.24	2.09	2.02	1.55
ESP217_VIVC9848_5159	80.8	55.5	108.7	96.67	181.71	133.9	310.28	736.57	536.3	0.24	0.26	0.25	2.2	0.49	0.16	7.6	7.41	7.46	1.62	2.47	2
ESP217_VIVC10077_5165	106.5	67.5	55.3	93.4	100.11	113.9	206.96	254.6	242	0.56	0.37	0.55	3.06	1.59	1.93	3.5	5.79	4.17	2.55	2.43	2.34
ESP217_VIVC10308_5167	NA	110.4	130.3	154.2	182.75	158.3	437.45	502.63	321.3	0.4	0.39	0.51	1.47	0.85	0.59	5.87	6.03	4.77	NA	1.83	1.66
ESP217_VIVC10313_5168	87.1	85.3	94.71	116.4	133.43	85.67	816.56	832.29	1015.2	0.14	0.16	0.09	4.64	0.72	0.33	7.34	8.27	9.13	2.21	2.03	2.08
ESP217_VIVC10314_5169	272	154.9	276.33	295.4	312.1	258.5	1149.09	1114.1	1288.7	0.26	0.32	0.21	0.02	1.29	10	7.42	6.78	7.87	0	0	0
ESP217_VIVC10680_5172	162.5	74.6	84.7	NA	200.25	168.2	NA	511.38	290.3	NA	0.42	0.6	NA	1.63	0.81	NA	5.32	3.7	2.51	2.25	1.58
ESP217_VIVC10790_5173	109.5	NA	87.1	70.4	150.1	99.3	176.67	251.8	175.8	0.48	0.61	0.58	2.2	0.79	0.9	4.89	3.53	3.79	1.17	NA	1.22
ESP217_VIVC11480_5174	138.5	132.2	76.8	131.2	155.33	170.8	255.33	427.78	336.7	0.59	0.47	0.57	1.37	2.68	1.51	4.05	5.04	4.02	2.05	2.55	1.83
ESP217_VIVC13100_5177	95.3	72.3	93.1	118.6	150.56	136.9	201.6	197	163.2	0.6	0.81	0.85	0.72	1.56	0.51	3.66	0.95	1.16	2.74	3.2	2.25
ESP217_VIVC213_5179	173.8	128.1	116.5	140.6	239.6	177.1	398.99	381.2	532.1	0.44	0.71	0.37	2.46	1.27	1.13	5.33	2.8	6.25	2.37	2.57	1.98
ESP217_VIVC12072_5180	204.6	107.6	NA	175.4	342.75	137.3	634.89	886	584.1	0.31	0.41	0.26	1.11	0.88	1.41	6.89	5.76	7.26	2.53	2.43	NA
ESP217_VIVC11805_5181	86.5	103.1	67.88	93.6	91.78	80.6	168.9	140.56	133.2	0.56	0.66	0.61	0.79	0.21	0.76	3.98	3.33	3.45	1.89	1.88	2.15
ESP217_VIVC11748_5182	154.5	138.5	103.8	85.8	184.8	138.2	164.54	234.6	200.8	0.54	0.8	0.69	1.17	1.74	1.24	4.09	0.47	2.15	2.35	2.5	2.21
ESP217_VIVC12350_5183	NA	126.8	NA	261.2	217	280.78	538.64	351	413.9	0.49	0.54	0.67	1.44	1.47	0.56	4.33	3.99	3.05	NA	2.69	NA
ESP217_VIVC25057_5184	151.9	96.5	NA	146.4	278.67	137.3	416.22	471	320.4	0.38	0.6	0.43	3.85	2.06	3.09	4.28	2.55	3.8	1.29	1.59	NA
ESP217_VIVC4935_5190	NA	210.2	NA	264.75	431.5	232.22	277.52	729.88	463.78	0.76	0.6	0.51	0.1	0.26	0.29	2.29	3.93	4.84	NA	2.57	NA
ESP217_VIVC9183_5194	128.3	103.2	178.7	113.2	192.5	157.11	430.96	625.11	573.5	0.26	0.32	0.27	0.07	0.61	0.29	7.35	6.75	7.29	2.22	2.8	2.15
ESP217_VIVC12629_5198	166.3	142.6	104.5	117.25	327.2	182.7	294.02	444.1	338.3	0.35	0.76	0.57	1.97	0.96	0.73	6.03	1.85	4.18	1.29	1.92	1.77
ESP217_VIVC10823_5202	114.8	NA	88.1	205.8	209.9	187.67	210.15	367.6	299.9	0.64	0.59	0.64	0.48	0.42	0.52	3.6	4.04	3.48	2.39	NA	1.72
ESP217_VIVC12628_5203	NA	148.1	115.7	83.2	182.4	81.2	463.58	856.44	442.7	0.3	0.24	0.31	4.11	0.92	4.15	6.95	7.57	6.86	NA	1.45	1.17
ESP217_VIVC12861_5205	139.6	85.2	111.2	204.8	235	165.6	443.84	446.56	321.6	0.49	0.55	0.53	0.9	0.77	0.43	4.93	4.3	4.62	1.84	2.19	1.27
ESP217_VIVC12865_5207	192.6	155.3	93.4	119.6	174.75	171.88	809.77	914.25	840.75	0.18	0.21	0.21	4.63	3.12	1.09	7.25	7.22	7.71	1.99	2.07	1.99
ESP217_VIVC15678_5209	NA	101.7	111.13	176.6	236.67	165.3	430.67	335.67	388.9	0.46	0.74	0.49	2.9	1.14	2.39	4.22	2.05	4.41	NA	1.5	1.28
ESP217_VIVC12965_5211	NA	179.7	NA	154.4	307.3	254.3	391.87	562.8	454.5	0.49	0.6	0.62	2.81	0.95	1.04	4.52	3.97	3.75	NA	1.7	NA
ESP217_VIVC12989_5212	NA	62.6	64.7	49.4	117.6	72.44	256.1	449.5	279.89	0.23	0.27	0.32	2.84	0.75	2.29	7.31	7.17	6.64	NA	1.41	1.23
ESP217_VIVC13270_5218	158.4	NA	103.5	115.8	93.11	115.2	368.4	153.11	307.8	0.35	0.64	0.39	3.9	4.36	1.16	4.85	-0.78	5.77	1.96	NA	1.9
